smirks,epsilon initial,epsilon final,sigma initial,sigma final
[#1]-[#8X2H2+0:1]-[#1],0.1521,0.08047626947058703,3.1507,3.512044562164384
[#1:1]-[#8X2H2+0]-[#1],0.0,1e-10,1.0,0.9249942286202649
[#1:1]-[#8X2H2+0:2]-[#1] EP all_permutations,0.0105,0.00014454789298809617,1.887,1.8256567239522035
[#6X2:1],0.21,0.13121215872227945,3.3996695084235347,3.421420861141318
[#1:1],0.0,1e-10,1.069078461768407,0.7883155945107702
[#1:1]-[#6X2:2] EP all_permutations,0.015,0.0012423452416324059,2.59964246,2.8230452157323804
[#6X4:1],0.1088406109251,0.07464330054429254,3.3795317616266205,3.4763976500450213
[#1:1]-[#6X4:2] EP all_permutations,0.01577948280971,0.02433847345749147,2.64454341,2.363595417458314
[#6:1],0.0868793154488,0.013373441146492599,3.480646886945065,3.0287577513009527
[#8:1],0.2102061007896,0.17810032930285927,3.039812205065809,3.1668440359392944
[#7:1],0.1676915150424,0.18479504645701036,3.2068760236639013,3.389655358178486
[#1:1]-[#7:2] EP all_permutations,0.01409081474669,0.0038632485052449246,1.10342768,1.4498337570595168
[#8X2H1+0:1],0.2094735324129,0.0685011754513408,2.9971599872486374,3.41038936709133
[#1:1]-[#8:2] EP all_permutations,0.0105,0.0005394628302611714,1.887,1.7763041626843354
"[#1:1]-[#6X4:2]-[#7,#8,#9,#16,#17,#35] EP all_permutations",0.01640924602775,0.0004921236679645669,2.58322571,2.3241834872860485
[#1:1]-[#6X3:2] EP all_permutations,0.01561134320353,0.06013242493970031,2.57258154,3.4262102790388917
"[#1:1]-[#6X3:2]~[#7,#8,#9,#16,#17,#35] EP all_permutations",0.01310699839698,0.25692032204366716,2.45362653,2.937343601847615
