smirks,epsilon initial,epsilon final,sigma initial,sigma final
[#1]-[#8X2H2+0:1]-[#1],0.1521,0.09621798498900208,3.1507,3.495682071292174
[#1:1]-[#8X2H2+0]-[#1],0.0,1e-10,1.0,1.113225975978009
[#6X4:1],0.1088406109251,0.055843752886497226,3.3795317616266205,3.5487645243401253
[#8X2H1+0:1],0.2094735324129,0.1335044802762299,2.9971599872486374,3.3382796322268464
"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",0.01640924602775,2.1071661012081804e-10,2.583225710839196,2.3124545947171256
[#1:1]-[#8],1.232599966667e-05,1.0000000004050807e-10,0.5345392308836691,0.6157457299766873
[#7:1],0.1676915150424,0.24631729092816568,3.2068760236639013,3.2927538649372137
[#1:1]-[#7],0.01409081474669,0.002070603323744122,1.1034276772973168,1.2604180323686582
[#6:1],0.0868793154488,0.07500610914430547,3.480646886945065,3.1886139599762506
[#8:1],0.2102061007896,0.15029474197299045,3.039812205065809,3.274331951326272
[#1:1]-[#6X4],0.01577948280971,0.029473718927075405,2.6445434132681247,2.2981678380061137
[#1:1]-[#6X3],0.01561134320353,0.01714189725189017,2.5725815350632795,2.4682505508896937
"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",0.01310699839698,0.01636733415076071,2.453626527729973,2.071160438504443
[#6X2:1],0.21,0.13828649671913432,3.3996695084235347,3.359459710488551
[#1:1]-[#6X2],0.015,0.0006884800025097554,2.59964245953351,2.419030819528808
